Date,Name,Year,Letterboxd URI,Rating
2018-05-26,The Babadook,2014,https://boxd.it/77xu,3.5
2018-05-26,Captain Phillips,2013,https://boxd.it/3GPK,4
2018-05-26,Prisoners,2013,https://boxd.it/4E5i,3.5
2018-05-26,Up,2009,https://boxd.it/1OEc,4
2018-05-26,Thor: Ragnarok,2017,https://boxd.it/8MHi,3.5
2018-05-26,American History X,1998,https://boxd.it/2bdo,4
2018-05-26,Django Unchained,2012,https://boxd.it/2cCk,4.5
2018-05-26,Silver Linings Playbook,2012,https://boxd.it/2TTo,4.5
2018-05-26,Lady Bird,2017,https://boxd.it/dGNE,4
2018-05-30,Cat People,1942,https://boxd.it/1vG4,3
2018-05-30,¡Three Amigos!,1986,https://boxd.it/20f4,4
2018-05-31,Cléo from 5 to 7,1962,https://boxd.it/2agm,4
2018-05-31,Guess Who's Coming to Dinner,1967,https://boxd.it/27Xi,4.5
2018-05-31,Insidious,2010,https://boxd.it/H4k,3
2018-06-03,A Serbian Film,2010,https://boxd.it/2wBc,0.5
2018-06-03,Anomalisa,2015,https://boxd.it/97TE,3
2018-06-03,A Christmas Story,1983,https://boxd.it/29sw,4
2018-06-03,Star Trek,2009,https://boxd.it/1Q6c,3
2018-06-03,Star Trek Beyond,2016,https://boxd.it/5Ik4,2
2018-06-03,Star Trek Into Darkness,2013,https://boxd.it/uYE,3.5
2018-06-06,Logan,2017,https://boxd.it/7Piy,3
2018-06-07,RBG,2018,https://boxd.it/hLS8,2.5
2018-06-07,9 Songs,2004,https://boxd.it/702,2
2018-06-08,(500) Days of Summer,2009,https://boxd.it/1EmM,3.5
2018-06-08,The Human Centipede (First Sequence),2009,https://boxd.it/18Tu,0.5
2018-06-09,National Lampoon's Christmas Vacation,1989,https://boxd.it/22wQ,4
2018-06-09,The 400 Blows,1959,https://boxd.it/2b1C,4
2018-06-09,Father of the Bride,1991,https://boxd.it/1SWY,4
2018-06-09,Finding Dory,2016,https://boxd.it/4aAA,2
2018-06-09,Piper,2016,https://boxd.it/dZaG,3
2018-06-09,"McFarland, USA",2015,https://boxd.it/6JCq,3
2018-06-09,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU,2
