Position,Name,Year,URL,Description
101,The Empire Strikes Back,1980,https://boxd.it/27Vw,
102,The English Patient,1996,https://boxd.it/2arE,
103,Eraserhead,1977,https://boxd.it/299u,#725
104,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
105,Eyes Wide Shut,1999,https://boxd.it/2axs,
106,A Face in the Crowd,1957,https://boxd.it/2lyc,#970
107,Faces Places,2017,https://boxd.it/g7ck,
108,Fanny and Alexander,1983,https://boxd.it/lXFe,#262 : Bergman Box
109,Fanny and Alexander,1982,https://boxd.it/22go,#263 : Bergman Box
110,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,#700
111,Fargo,1996,https://boxd.it/2aHM,
112,Fast Times at Ridgemont High,1982,https://boxd.it/1QnM,#1075
113,The Father,2020,https://boxd.it/m8Ie,
114,A Few Good Men,1992,https://boxd.it/29nw,
115,Fight Club,1999,https://boxd.it/2a9q,
116,The Firm,1993,https://boxd.it/18JY,
117,A Fish Called Wanda,1988,https://boxd.it/29YC,
118,The Fisher King,1991,https://boxd.it/2aWM,#764
119,A Fistful of Dollars,1964,https://boxd.it/2auo,
120,For All Mankind,1989,https://boxd.it/1Dvy,#54
121,Ford v Ferrari,2019,https://boxd.it/ce74,
122,Forrest Gump,1994,https://boxd.it/728,
123,Foxcatcher,2014,https://boxd.it/35Di,
124,The French Connection,1971,https://boxd.it/296g,
125,From the Life of the Marionettes,1980,https://boxd.it/XBO,
126,Fårö Document,1970,https://boxd.it/9GVg,
127,Fårö Document 1979,1979,https://boxd.it/3XDc,
128,Gladiator,2000,https://boxd.it/2b9m,
129,The Gleaners and I,2000,https://boxd.it/S6c,
130,The Gleaners and I: Two Years Later,2002,https://boxd.it/2Xok,
131,The Godfather,1972,https://boxd.it/2aNK,
132,The Godfather: Part II,1974,https://boxd.it/2aNq,
133,Godzilla,2014,https://boxd.it/47OE,
134,Godzilla vs. Kong,2021,https://boxd.it/e0qK,
135,Gone Girl,2014,https://boxd.it/6hQu,
136,GoodFellas,1990,https://boxd.it/29FA,
137,The Graduate,1967,https://boxd.it/18Im,#800
