,Title,Rewatch,Watched Date
683,The Lord of the Rings: The Two Towers,Yes,2021-01-02
684,Kajillionaire,,2021-01-02
685,The Platform,,2021-01-03
686,The Lord of the Rings: The Return of the King,Yes,2021-01-04
687,"Bloody Nose, Empty Pockets",,2021-01-06
688,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),,2021-01-06
689,Young Ahmed,,2021-01-07
690,Phantom Thread,Yes,2021-01-07
691,The Trip,,2021-01-08
692,Sputnik,,2021-01-10
693,East Side Sushi,,2021-01-10
694,Aquaman,,2021-01-11
695,X-Men: First Class,Yes,2021-01-12
696,Knocked Up,,2021-01-13
697,X-Men: Days of Future Past,Yes,2021-01-15
698,Baby Driver,Yes,2021-01-16
699,The Lady Eve,,2021-01-17
700,Tenet,,2021-01-17
701,The Searchers,,2021-01-18
702,One Night in Miami...,,2021-01-18
703,Once Upon a Time in the West,,2021-01-19
704,Twilight,,2021-01-19
705,Forgetting Sarah Marshall,,2021-01-20
706,The Assassination of Jesse James by the Coward Robert Ford,,2021-01-21
707,Ant-Man,,2021-01-23
708,Leviathan,,2021-01-24
709,Ant-Man and the Wasp,,2021-01-25
710,The Kid with a Bike,,2021-01-26
711,Blood Simple,,2021-01-26
712,Captain Marvel,Yes,2021-01-26
713,Thor: The Dark World,,2021-01-29
714,Ad Astra,Yes,2021-01-30
715,Three Colors: Blue,,2021-01-31
716,Secrets & Lies,,2021-02-01
717,Groundhog Day,Yes,2021-02-02
718,Avengers: Infinity War,Yes,2021-02-02
719,"Two Days, One Night",,2021-02-03
720,Dazed and Confused,,2021-02-04
721,All the President's Men,,2021-02-05
722,School of Rock,Yes,2021-02-06
723,Certified Copy,,2021-02-08
724,Once Upon a Time in Anatolia,,2021-02-09
725,Set It Up,,2021-02-14
726,Dog Day Afternoon,,2021-02-15
727,Bicycle Thieves,,2021-02-18
728,The Emperor's New Groove,,2021-02-18
729,Butch Cassidy and the Sundance Kid,Yes,2021-02-19
730,The Sacrifice,,2021-02-22
731,The Devils,,2021-02-23
732,All This Panic,,2021-02-24
733,Lone Star,Yes,2021-02-26
734,Dirty Dancing,,2021-02-28
735,21 Jump Street,Yes,2021-03-01
736,The Straight Story,,2021-03-05
737,Ran,,2021-03-07
738,Monty Python and the Holy Grail,Yes,2021-03-08
739,Rosemary's Baby,Yes,2021-03-10
740,Unforgiven,Yes,2021-03-12
741,Judas and the Black Messiah,,2021-03-14
742,Taxi Driver,Yes,2021-03-16
743,City Slickers,Yes,2021-03-18
744,Le Bonheur,,2021-03-20
745,Godzilla,,2021-03-21
746,My Octopus Teacher,,2021-03-23
747,Network,,2021-03-23
748,Nomadland,Yes,2021-03-28
749,Bad Trip,,2021-03-29
750,Coming Out,,2021-03-31
751,A Concerto Is a Conversation,,2021-04-02
752,Godzilla,Yes,2021-04-04
753,Godzilla: King of the Monsters,,2021-04-05
754,Kong: Skull Island,Yes,2021-04-06
755,Detour,,2021-04-07
756,Godzilla vs. Kong,,2021-04-09
757,Barb & Star Go to Vista Del Mar,,2021-04-13
758,A New Leaf,,2021-04-14
759,Big Night,Yes,2021-04-16
760,"I Love You, Man",,2021-04-18
761,Promising Young Woman,,2021-04-18
762,Man of Steel,Yes,2021-04-19
763,Where Is My Friend's House?,,2021-04-20
764,The Beach Bum,,2021-04-21
765,Beau Travail,,2021-04-22
766,The Life Ahead,,2021-04-23
767,The Sting,Yes,2021-04-24
768,"Quo vadis, Aida?",,2021-04-26
769,Memories of Murder,,2021-04-27
770,The Man Who Would Be King,,2021-04-30
771,Derek DelGaudio's In & of Itself,,2021-04-30
772,Mother,,2021-05-01
773,Pulse,,2021-05-02
774,Manhattan,,2021-05-03
775,WandaVision,,2021-05-03
776,The Blair Witch Project,Yes,2021-05-04
777,Meru,Yes,2021-05-05
778,Trainwreck,Yes,2021-05-06
779,Mean Girls,Yes,2021-05-07
780,Avengers: Endgame,Yes,2021-05-10
781,The Dawn Wall,Yes,2021-05-11
782,Star Wars,Yes,2021-05-12
783,Rear Window,Yes,2021-05-13
784,The Empire Strikes Back,Yes,2021-05-15
785,Bowfinger,,2021-05-17
786,The Departed,Yes,2021-05-19
787,Return of the Jedi,Yes,2021-05-20
788,Fitzcarraldo,,2021-05-21
789,Batman v Superman: Dawn of Justice,Yes,2021-05-22
790,The Great Dictator,,2021-05-23
791,Mad Max: Fury Road,Yes,2021-05-24
792,Apocalypse Now,Yes,2021-05-27
793,Win Win,,2021-05-28
794,Saint Maud,,2021-05-29
795,Unstoppable,,2021-05-29
796,Collateral,,2021-05-29
797,The Taking of Pelham One Two Three,,2021-05-30
798,Speed,,2021-05-30
799,Coherence,,2021-05-30
800,Greenland,,2021-05-31
801,Amélie,Yes,2021-06-01
802,A Quiet Place,Yes,2021-06-01
803,Once Upon a Time… in Hollywood,Yes,2021-06-02
804,Heat,Yes,2021-06-03
805,The Matrix,Yes,2021-06-04
806,Casablanca,Yes,2021-06-05
807,The Wolf of Wall Street,Yes,2021-06-06
808,The Conjuring,Yes,2021-06-07
809,The Conjuring 2,,2021-06-07
810,Tenet,Yes,2021-06-07
811,The Conjuring: The Devil Made Me Do It,,2021-06-08
812,Lars and the Real Girl,Yes,2021-06-10
813,In the Heights,,2021-06-11
814,Training Day,,2021-06-12
815,Logan Lucky,Yes,2021-06-15
816,Reservoir Dogs,Yes,2021-06-17
817,The Nice Guys,Yes,2021-06-18
818,The Avengers,Yes,2021-06-21
819,Magic Mike,Yes,2021-06-22
820,M,Yes,2021-06-23
821,The Fast and the Furious,,2021-06-24
822,2 Fast 2 Furious,,2021-06-24
823,The Fast and the Furious: Tokyo Drift,,2021-06-27
824,Fast & Furious,,2021-06-27
825,Fast Five,,2021-06-28
826,Fast & Furious 6,,2021-06-28
827,Furious 7,,2021-06-29
828,Hunger,,2021-06-29
829,The Fate of the Furious,,2021-06-30
830,Fast & Furious Presents: Hobbs & Shaw,,2021-07-03
831,The Shining,Yes,2021-07-04
832,F9,,2021-07-05
833,Hard Eight,,2021-07-07
834,Boogie Nights,Yes,2021-07-08
835,Dave Chappelle: The Kennedy Center Mark Twain Prize,,2021-07-17
836,Signs,,2021-07-27
837,Unbreakable,,2021-07-28
838,The Green Knight,,2021-07-30
839,Deep Cover,,2021-08-01
840,The Happening,,2021-08-01
841,The Empty Man,,2021-08-01
842,Videodrome,,2021-08-02
843,The Insider,,2021-08-03
844,Ferris Bueller's Day Off,Yes,2021-08-08
845,Pig,,2021-08-10
846,Pig,Yes,2021-08-11
847,An American Rhapsody,,2021-08-14
848,Loki,,2021-08-16
849,Zack Snyder's Justice League,,2021-08-21
850,Aquaman,Yes,2021-08-22
851,The Sound of Music,Yes,2021-08-22
852,In the Earth,,2021-08-22
853,Jurassic Park,Yes,2021-08-23
854,Shiva Baby,,2021-08-23
855,The Five-Year Engagement,,2021-08-29
856,In the Cut,,2021-08-29
857,Casino Royale,Yes,2021-09-02
858,Point Break,,2021-09-04
859,Miller's Crossing,Yes,2021-09-05
860,Mission: Impossible,Yes,2021-09-07
861,Raising Arizona,Yes,2021-09-12
862,Escape from New York,,2021-09-13
863,Malignant,,2021-09-15
864,Shang-Chi and the Legend of the Ten Rings,,2021-09-19
865,Sweetie,,2021-09-29
866,Animal House,Yes,2021-10-04
867,Raw,Yes,2021-10-06
868,Titane,,2021-10-06
869,GoldenEye,Yes,2021-10-09
870,Spectre,Yes,2021-10-10
871,No Time to Die,,2021-10-10
872,The Ritual,,2021-10-15
873,Dave Chappelle: The Closer,,2021-10-17
874,A Nightmare on Elm Street,Yes,2021-10-18
875,Dune,,2021-10-22
876,The Strangers,,2021-10-26
877,Trick 'r Treat,,2021-10-27
878,An Angel at My Table,,2021-10-27
879,The Piano,,2021-11-01
880,Luca,,2021-11-03
881,The French Dispatch,,2021-11-07
882,Bo Burnham: Inside,,2021-11-07
883,Spencer,,2021-11-08
884,Bright Star,,2021-11-15
885,Shrek,Yes,2021-11-16
886,Passing,,2021-11-17
887,Babette's Feast,Yes,2021-11-20
888,Pig,Yes,2021-11-20
889,The Princess Diaries,,2021-11-21
890,The Princess Diaries 2: Royal Engagement,,2021-11-21
891,Breaking the Waves,,2021-11-22
892,The Power of the Dog,,2021-11-23
893,The Green Knight,Yes,2021-11-24
894,The Godfather,Yes,2021-11-26
895,True Grit,Yes,2021-11-28
896,"tick, tick...BOOM!",,2021-12-04
897,The Tree of Life,Yes,2021-12-12
898,The Rescue,,2021-12-19
899,Spider-Man: Far From Home,,2021-12-20
900,Spider-Man 3,,2021-12-21
901,The Last Duel,,2021-12-22
902,West Side Story,,2021-12-25
903,Shang-Chi and the Legend of the Ten Rings,Yes,2021-12-26
904,Riders of Justice,,2021-12-27
905,The Resort,,2021-12-28
906,The Amazing Spider-Man,,2021-12-28
907,The Amazing Spider-Man 2,,2021-12-29
908,Black Widow,,2022-01-01
909,Spider-Man: No Way Home,,2022-01-01
910,Procession,,2022-01-02
911,Annette,,2022-01-02
912,"Summer of Soul (...or, When the Revolution Could Not Be Televised)",,2022-01-04
913,My Cousin Vinny,Yes,2022-01-07
914,Censor,,2022-01-07
915,Zola,,2022-01-07
916,In the Heat of the Night,,2022-01-08
917,Licorice Pizza,,2022-01-09
918,The Killing of Two Lovers,,2022-01-09
919,The Matrix Reloaded,,2022-01-11
920,"All Light, Everywhere",,2022-01-12
921,About Endlessness,,2022-01-13
922,The Matrix Revolutions,,2022-01-14
923,The Matrix Resurrections,,2022-01-15
924,The Tragedy of Macbeth,,2022-01-16
925,Don't Look Up,,2022-01-17
926,Drive My Car,,2022-01-18
927,I Saw the Devil,,2022-01-19
928,Martyrs,,2022-01-22
929,A Hero,,2022-01-22
930,Parasite,Yes,2022-01-23
931,Panic Room,,2022-01-24
932,Heat,Yes,2022-01-25
933,Yi Yi,,2022-01-26
934,The Worst Person in the World,,2022-01-28
935,Fight Club,Yes,2022-01-29
936,CODA,,2022-01-29
937,My Big Fat Greek Wedding,,2022-01-30
938,Jackass: The Movie,,2022-02-03
939,Jackass Number Two,,2022-02-03
940,Jackass 3D,,2022-02-04
941,The Conversation,,2022-02-05
942,Jackass 3.5,,2022-02-06
943,Avatar,Yes,2022-02-07
944,Popstar: Never Stop Never Stopping,Yes,2022-02-08
945,Identifying Features,,2022-02-09
946,Dune,Yes,2022-02-12
947,The Hurt Locker,Yes,2022-02-13
948,Kimi,,2022-02-16
949,Texas Chainsaw Massacre,,2022-02-19
950,The Texas Chainsaw Massacre,,2022-02-19
951,Much Ado About Nothing,,2022-02-20
952,The Texas Chainsaw Massacre: The Beginning,,2022-02-21
953,Blackhat,,2022-02-25
954,One Week,,2022-02-26
955,The Scarecrow,,2022-02-26
956,The Play House,,2022-02-26
957,The Texas Chain Saw Massacre,Yes,2022-02-26
958,Cops,,2022-02-27
959,Mean Streets,,2022-02-28
960,Texas Chainsaw 3D,,2022-03-01
961,Paper Moon,,2022-03-02
962,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Yes,2022-03-04
963,Columbus,,2022-03-06
964,The Batman,,2022-03-07
965,The Ascent,,2022-03-09
966,Below Zero,,2022-03-11
967,Free Guy,,2022-03-12
968,Popstar: Never Stop Never Stopping,Yes,2022-03-13
969,After We Fell,,2022-03-13
970,The Prince of Egypt,,2022-03-14
971,Nightmare Alley,,2022-03-21
972,The Power of the Dog,Yes,2022-03-23
973,The Evil Dead,Yes,2022-03-25
974,Everything Everywhere All at Once,,2022-04-10
975,The Lost World: Jurassic Park,Yes,2022-04-10
976,Mulholland Drive,Yes,2022-04-11
977,Jurassic Park III,Yes,2022-04-13
978,Jurassic World,Yes,2022-04-15
979,Paths of Glory,Yes,2022-04-16
980,Jurassic World: Fallen Kingdom,,2022-04-17
981,Army of Darkness,,2022-04-20
982,Harry Potter and the Philosopher's Stone,Yes,2022-04-23
983,Harry Potter and the Chamber of Secrets,Yes,2022-04-25
984,Harry Potter and the Prisoner of Azkaban,Yes,2022-04-27
985,Harry Potter and the Goblet of Fire,Yes,2022-04-29
986,Harry Potter and the Order of the Phoenix,Yes,2022-04-29
987,Harry Potter and the Half-Blood Prince,Yes,2022-04-30
988,Harry Potter and the Deathly Hallows: Part 1,Yes,2022-04-30
989,Harry Potter and the Deathly Hallows: Part 2,Yes,2022-05-01
990,Dinosaur,Yes,2022-05-01
991,Pirates of the Caribbean: The Curse of the Black Pearl,Yes,2022-05-02
992,Inland Empire,,2022-05-03
993,Pirates of the Caribbean: Dead Man's Chest,Yes,2022-05-04
994,Pirates of the Caribbean: At World's End,Yes,2022-05-05
995,Pirates of the Caribbean: On Stranger Tides,,2022-05-06
996,Barb & Star Go to Vista Del Mar,Yes,2022-05-16
997,Caddyshack,Yes,2022-05-18
998,Drag Me to Hell,,2022-05-19
999,The Brood,,2022-05-20
1000,Scanners,,2022-05-21
1001,Pirates of the Caribbean: Dead Men Tell No Tales,,2022-05-22
1002,The Straight Story,Yes,2022-05-23
1003,Constantine,,2022-05-23
1004,Old,,2022-05-25
1005,The VelociPastor,,2022-05-29
1006,Top Gun,Yes,2022-05-30
1007,Top Gun: Maverick,,2022-05-30
1008,Rabid,,2022-06-02
1009,The Dead Zone,,2022-06-03
1010,The Iron Giant,Yes,2022-06-04
1011,Titanic,Yes,2022-06-05
1012,Dead Ringers,,2022-06-06
1013,The Right Stuff,,2022-06-06
1014,Mission: Impossible - Ghost Protocol,Yes,2022-06-07
1015,Crash,,2022-06-08
1016,Mission: Impossible II,,2022-06-08
1017,The Son,,2022-06-11
1018,Mission: Impossible III,Yes,2022-06-12
1019,Mission: Impossible - Rogue Nation,Yes,2022-06-13
1020,Mission: Impossible - Fallout,Yes,2022-06-13
1021,The Unknown Girl,,2022-06-14
1022,Sicario,Yes,2022-06-15
1023,Paths of Glory,Yes,2022-06-18
1024,Big Night,Yes,2022-06-18
1025,Anchorman: The Legend of Ron Burgundy,Yes,2022-06-19
1026,Ford v Ferrari,Yes,2022-06-20
1027,A Moment of Innocence,,2022-06-21
1028,RRR,,2022-06-21
1029,Pride & Prejudice,,2022-06-22
1030,Stand by Me,Yes,2022-06-23
1031,Saturday Night Fever,Yes,2022-06-24
1032,The Straight Story,Yes,2022-06-25
1033,Doctor Strange in the Multiverse of Madness,,2022-06-27
1034,Miami Vice,,2022-06-28
1035,After Yang,,2022-07-01
1036,Funny Farm,Yes,2022-07-02
1037,Memoria,,2022-07-02
1038,Die Hard,Yes,2022-07-03
1039,Invasion of the Body Snatchers,,2022-07-06
1040,Diabolique,,2022-07-08
1041,Raiders of the Lost Ark,Yes,2022-07-09
1042,Indiana Jones and the Last Crusade,Yes,2022-07-10
1043,"South Park: Bigger, Longer & Uncut",Yes,2022-07-17
1044,The Long Goodbye,,2022-07-18
1045,California Split,,2022-07-19
1046,The Counselor,,2022-07-19
1047,The Handmaiden,,2022-07-20
1048,Thor: Love and Thunder,,2022-07-20
1049,White Chicks,,2022-07-21
1050,Nope,,2022-07-23
1051,Solaris,,2022-07-27
1052,Irma Vep,,2022-07-28
1053,The Grey,,2022-07-28
1054,The Card Counter,,2022-07-29
1055,Eternals,,2022-07-30
1056,Double Indemnity,Yes,2022-08-02
1057,Hairspray,,2022-08-07
1058,Pretty Woman,,2022-08-07
1059,Legally Blonde,,2022-08-08
1060,Prey,,2022-08-09
1061,Turning Red,,2022-08-12
1062,Us,Yes,2022-08-15
1063,Pitch Perfect,Yes,2022-08-16
1064,Shrek 2,Yes,2022-08-17
1065,The Rover,,2022-08-18
1066,Lawrence of Arabia,Yes,2022-08-19
1067,AVP: Alien vs. Predator,,2022-08-20
1068,Predators,Yes,2022-08-22
1069,Predator 2,,2022-08-24
1070,"I Love You, Man",Yes,2022-08-26
1071,The Predator,,2022-08-27
1072,Aliens vs Predator: Requiem,Yes,2022-08-28
1073,Birth,,2022-08-29
1074,Fire of Love,,2022-08-29
1075,AVP: Alien vs. Predator,Yes,2022-08-30
1076,Clueless,Yes,2022-08-31
1077,Under the Skin,Yes,2022-09-01
1078,The Twilight Saga: New Moon,,2022-09-02
1079,Godzilla,Yes,2022-09-04
1080,The Twilight Saga: Eclipse,,2022-09-05
1081,The Twilight Saga: Breaking Dawn - Part 1,,2022-09-06
1082,The Twilight Saga: Breaking Dawn - Part 2,,2022-09-06
1083,Godzilla vs. Kong,Yes,2022-09-11
