,Title,Rewatch,Watched Date
165,Us,,2019-03-28
166,Carrie,,2019-04-01
167,John Mulaney: New in Town,Yes,2019-04-03
168,Kevin Hart: Irresponsible,,2019-04-04
169,Amy Schumer: Growing,,2019-04-04
170,Antichrist,Yes,2019-04-06
171,Avengers: Infinity War,Yes,2019-04-06
172,Halloween,Yes,2019-04-08
173,The Texas Chain Saw Massacre,Yes,2019-04-08
174,Knock Down the House,,2019-04-13
175,The Third Wife,,2019-04-13
176,Suspiria,Yes,2019-04-15
177,The Fly,,2019-04-22
178,Whistle and I'll Come to You,,2019-04-23
179,Avengers: Endgame,,2019-04-27
180,The Wailing,,2019-04-30
181,Audition,,2019-05-02
182,Burning,,2019-05-04
183,Get Out,Yes,2019-05-06
184,A Girl Walks Home Alone at Night,,2019-05-13
185,Mad Max: Fury Road,Yes,2019-05-17
186,Suspiria,Yes,2019-05-18
187,Train to Busan,,2019-05-27
188,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,,2019-05-30
189,Brick,,2019-05-30
190,The Edge of Seventeen,,2019-06-06
191,Chernobyl,,2019-06-07
192,Sicario,Yes,2019-06-08
193,Psycho,,2019-06-10
194,Spider-Man: Homecoming,,2019-06-10
195,American Psycho,,2019-06-11
196,The Meg,,2019-06-12
197,Side Effects,,2019-06-12
198,Girls Trip,,2019-06-12
199,Gone Girl,Yes,2019-06-13
200,A Dark Song,,2019-06-18
201,Napoleon Dynamite,Yes,2019-06-19
202,The 40 Year Old Virgin,Yes,2019-06-20
203,Crazy Rich Asians,,2019-06-25
204,Always Be My Maybe,,2019-06-26
205,Toy Story 4,,2019-06-27
206,Austin Powers: The Spy Who Shagged Me,Yes,2019-06-28
207,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Yes,2019-07-04
208,Avengers: Endgame,Yes,2019-07-06
209,Anchorman: The Legend of Ron Burgundy,Yes,2019-07-07
210,Talladega Nights: The Ballad of Ricky Bobby,Yes,2019-07-08
211,Edge of Tomorrow,Yes,2019-07-09
212,Toy Story 4,Yes,2019-07-10
213,The Silence of the Lambs,Yes,2019-07-11
214,Tropic Thunder,Yes,2019-07-12
215,7 Days in Hell,Yes,2019-07-12
216,A Fish Called Wanda,Yes,2019-07-13
217,Ace Ventura: Pet Detective,Yes,2019-07-14
218,Midsommar,,2019-07-15
219,Pulp Fiction,Yes,2019-07-16
220,Office Space,Yes,2019-07-17
221,Stop Making Sense,,2019-07-18
222,Rushmore,Yes,2019-07-18
223,The Grand Budapest Hotel,Yes,2019-07-19
224,Amadeus,Yes,2019-07-24
225,Die Hard,Yes,2019-07-25
226,Birdman or (The Unexpected Virtue of Ignorance),Yes,2019-07-27
227,The Hangover,,2019-07-28
228,Y Tu Mamá También,Yes,2019-07-30
229,Once Upon a Time… in Hollywood,,2019-07-30
230,Spaceballs,Yes,2019-07-31
231,Reservoir Dogs,Yes,2019-08-04
232,Jackie Brown,,2019-08-05
233,Deliverance,,2019-08-06
234,The Souvenir,,2019-08-09
235,The Big Lebowski,Yes,2019-08-12
236,Jackie Brown,Yes,2019-08-14
237,Iron Man,Yes,2019-08-17
238,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Yes,2019-08-18
239,Hereditary,Yes,2019-08-21
240,Inglourious Basterds,Yes,2019-08-23
241,Everybody Wants Some!!,,2019-08-24
242,Dumb and Dumber,Yes,2019-08-25
243,Oklahoma!,,2019-08-29
244,Batman,Yes,2019-09-05
245,Dave Chappelle: Sticks & Stones,,2019-09-07
246,Bill Burr: Paper Tiger,,2019-09-12
247,Eyes Wide Shut,Yes,2019-09-13
248,The Tree of Life,Yes,2019-09-15
249,Dave Chappelle: The Age of Spin,Yes,2019-09-17
250,Hot Rod,Yes,2019-09-20
251,Downton Abbey,,2019-09-22
252,Bill Burr: You People Are All The Same,Yes,2019-09-24
253,Toy Story 4,Yes,2019-09-27
254,Ad Astra,,2019-09-28
255,Bill Burr: Let It Go,Yes,2019-10-01
